,Value
Sample,SRR5223500
Group,HC (Healthy Control 1)
Raw Reads (M),1.0
Trimmed Reads (M),0.82
% Reads Kept,82.0
Q20 Before (%),93.62
Q20 After (%),99.82
Q30 Before (%),90.19
Q30 After (%),98.42
GC Before (%),47.75
GC After (%),47.31
Duplication Rate (%),1.55
Insert Size Peak (bp),75
Too Short Reads,180096
Adapter Trimmed,7916
R1 Raw QC Flag,FAIL (Per base seq content)
R2 Raw QC Flag,WARN (Per base seq content)
R1 Trim QC Flag,FAIL (Per base seq content)
R2 Trim QC Flag,PASS
Overall Assessment,PASS — High quality library
